mate_name,mate_type,alignment,entity_index,component,entity_params,error_code,suppressed
"同心2","1","0","0","云台装配-1/云台支撑板-1","0.060000000000000005;-0.025999999999999895;0.17749999999999999;-3.5880429933062667E-16;-7.1403161011608265E-17;1;0.0015999999999999983;0","0","False"
"同心2","1","0","1","平开合页20X20-1/平开合页b-1","0.060000000000000053;-0.026000000000000995;0.18090000000000647;-3.5815897741784765E-16;-1.4361032204693701E-16;1;0.0015000000000000007;0","0","False"
"重合3","0","1","0","云台装配-1/云台支撑板-1","-1.180944496816253E-17;7.2287160702933029E-17;0.18749999999999997;-3.5880429933062667E-16;-7.1403161011608265E-17;1;0;0","0","False"
"重合3","0","1","1","平开合页20X20-2/平开合页b-1","-0.043999999999999984;-0.033000000000001334;0.18750000000000658;3.5815897741786821E-16;-1.2576745200831837E-16;-1;0;0","0","False"
"同心3","1","0","0","云台装配-1/云台支撑板-1","-0.059999999999999991;-0.025999999999999957;0.17749999999999994;-3.5880429933062667E-16;-7.1403161011608265E-17;1;0.0015999999999999983;0","0","False"
"同心3","1","0","1","平开合页20X20-2/平开合页b-1","-0.059999999999999984;-0.026000000000001341;0.18090000000000658;-3.5815897741786816E-16;-2.9118572632467992E-17;1;0.0015000000000000007;0","0","False"
"同心4","1","0","0","云台装配-1/云台支撑板-1","-0.047999999999999994;-0.02599999999999995;0.17749999999999994;-3.5880429933062667E-16;-7.1403161011608265E-17;1;0.0015999999999999983;0","0","False"
"同心4","1","0","1","平开合页20X20-2/平开合页b-1","-0.047999999999999987;-0.026000000000001335;0.18090000000000658;-3.5815897741786816E-16;-2.9118572632467992E-17;1;0.0015000000000000007;0","0","False"
"重合4","0","1","0","弹仓盖板-1","4.4628361990074647E-16;-2.0157228427023184E-05;0.18730145381902108;-2.321207942130664E-16;0.0060183345327721512;0.99998188966073376;0;0","0","False"
"重合4","0","1","1","平开合页20X20-1/平开合页a-1","0.044000000000000469;-0.033019559587231365;0.18750005885860252;2.3256081076689367E-16;-0.0060183345327723178;-0.99998188966073376;0;0","0","False"
"同心5","1","1","0","弹仓盖板-1","0.048000000000000029;-0.04001943281485637;0.18754218720033197;2.321207942130664E-16;-0.0060183345327721512;-0.99998188966073376;0.0015999999999999975;0","0","False"
"同心5","1","1","1","平开合页20X20-1/平开合页a-1","0.048000000000000473;-0.040059153822772808;0.18094230672857109;-2.3256081076689357E-16;0.006018334532772473;0.99998188966073376;0.0015000000000000007;0","0","False"
"同心6","1","1","0","弹仓盖板-1","0.060000000000000032;-0.04001943281485637;0.18754218720033197;2.321207942130664E-16;-0.0060183345327721512;-0.99998188966073376;0.0015999999999999975;0","0","False"
"同心6","1","1","1","平开合页20X20-1/平开合页a-1","0.06000000000000047;-0.040059153822772815;0.18094230672857109;-2.3256081076689357E-16;0.006018334532772473;0.99998188966073376;0.0015000000000000007;0","0","False"
"重合5","0","1","0","弹仓盖板-1","4.4628361990074647E-16;-2.0157228427023184E-05;0.18730145381902108;-2.321207942130664E-16;0.0060183345327721512;0.99998188966073376;0;0","0","False"
"重合5","0","1","1","平开合页20X20-2/平开合页a-1","-0.064000000000000001;-0.033019559587231524;0.18750005885860244;4.1946404655692283E-16;-0.0060183345327724444;-0.99998188966073376;0;0","0","False"
