instance,path,configuration,suppression_state,transform_4x4
"法兰轴承F698 8-19-6-8","E:\2025赛季\串联腿\法兰轴承F698 8-19-6.SLDPRT","默认","0","0.18599749158157877;-0.9825502191365898;1.2274624632330212E-16;-2.4061402919670039E-17;-1.2948102237673886E-16;-1;0.9825502191365898;0.18599749158157877;-4.7724682080947273E-17;-0.13389259229313683;0.04877837681491648;0.050999999999999962;1;0;0;0"
"法兰轴承F698 8-19-6-9","E:\2025赛季\串联腿\法兰轴承F698 8-19-6.SLDPRT","默认","0","-0.83661053187435086;0.547798154393492;5.8875135308951645E-16;1.1408256170817687E-15;6.6753670172184689E-16;0.99999999999999989;0.547798154393492;0.83661053187435064;-1.1834104025953734E-15;-0.24649618925665986;0.023074681538235501;0.063400000000000373;1;0;0;0"
"防松螺母M6-4","E:\2025赛季\串联腿\防松螺母M6.SLDPRT","默认","0","0.25597238879889639;0.96668409326552318;-4.363255962085506E-17;-0.96668409326552318;0.25597238879889628;-4.7550218145345303E-17;-3.479730899685042E-17;5.4350444260512812E-17;1;-0.24649618925665986;0.023074681538235501;0.074499999999999969;1;0;0;0"
"法兰轴承F698 8-19-6-10","E:\2025赛季\串联腿\法兰轴承F698 8-19-6.SLDPRT","默认","0","-0.26810427718366031;0.96338989851244905;0;0;-2.0816681711721685E-17;-1;-0.96338989851244916;-0.26810427718366037;0;-0.24649618925665986;0.023074681538235501;0.048400000000000394;1;0;0;0"
"塞打螺栓 M6-φ8-20-2","E:\2025赛季\串联腿\塞打螺栓 M6-φ8-20.SLDPRT","默认","0","0.040329364750383623;-0.9991864402296653;6.4114736710581346E-16;-1.1325426831307235E-15;-6.8738131985788651E-16;-1;0.9991864402296653;0.040329364750383623;-1.1593429439366903E-15;1.1724398114972597E-17;-0.065592462731278417;0.037499999999999999;1;0;0;0"
"电机梁中间内嵌打印件-1","E:\2025赛季\串联腿\电机梁中间内嵌打印件.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;2.4286128663675299E-17;-0.065500000000000003;-0.038800000000000001;1;0;0;0"
"塞打螺栓 M6-φ8-20-4","E:\2025赛季\串联腿\塞打螺栓 M6-φ8-20.SLDPRT","默认","0","0.0043044306772009114;-0.9999907358953608;3.4694469519536142E-18;1.7347234759768071E-16;3.4694469519536142E-18;-1;0.99999073589536069;0.0043044306772009062;1.8041124150158794E-16;-0.24649618925665986;0.023074681538235501;0.042900000000000396;1;0;0;0"
"膝关节碗组限位环-1","E:\2025赛季\串联腿\膝关节碗组限位环.SLDPRT","默认","0","2.7755575615628914E-17;-1.2490009027033011E-16;1.0000000000000002;-0.50740853254804297;0.86170562322491651;1.4224732503009818E-16;-0.86170562322491639;-0.50740853254804308;-2.7755575615628914E-17;-0.20677223362556188;-0.016677559917421713;0.049400000000000256;1;0;0;0"
"塞打螺栓 M6-φ8-20-1","E:\2025赛季\串联腿\塞打螺栓 M6-φ8-20.SLDPRT","默认","0","-0.2764003663312381;-0.96104257839700169;9.2298252071686492E-16;-1.1657341758564148E-15;-6.6613381477509412E-16;-1;0.9610425783970018;-0.2764003663312381;-1.1082545533771808E-15;0.092130215697428477;-0.0010302961354670057;0.037500000000000006;1;0;0;0"
"防松螺母M6-2","E:\2025赛季\串联腿\防松螺母M6.SLDPRT","默认","0","0.62101636011558814;-0.78379760172431401;-2.1394472276564526E-16;0.78379760172431401;0.62101636011558814;-1.5214378201981998E-15;1.3253624876418765E-15;7.7714841663639433E-16;1;4.1736779217936773E-17;-0.065592462731278403;0.064000000000000001;1;0;0;0"
"塞打螺栓 M6-φ8-20-3","E:\2025赛季\串联腿\塞打螺栓 M6-φ8-20.SLDPRT","默认","0","-0.43586609593978698;-0.90001152570964815;1.1654375495275619E-16;-6.8103076525820202E-18;-1.2619324253044825E-16;-0.99999999999999989;0.90001152570964804;-0.43586609593978692;4.8874000574776696E-17;-0.13389259229313683;0.04877837681491648;0.045499999999999964;1;0;0;0"
"防松螺母M6-3","E:\2025赛季\串联腿\防松螺母M6.SLDPRT","默认","0","0.25597238879889639;0.96668409326552318;-4.363255962085506E-17;-0.96668409326552318;0.25597238879889628;-4.7550218145345303E-17;-3.479730899685042E-17;5.4350444260512812E-17;1;-0.13389259229313683;0.048778376814916487;0.074499999999999997;1;0;0;0"
"防松螺母M6-5","E:\2025赛季\串联腿\防松螺母M6.SLDPRT","默认","0","-0.54539353764842957;0.83818010540177512;-6.4533688553347539E-17;-0.83818010540177512;-0.54539353764842957;4.7596894532667293E-19;-3.4797308996850303E-17;5.4350444260512671E-17;0.99999999999999978;-0.092130215697427881;-0.0010302961354661775;0.064000000000000001;1;0;0;0"
"防松螺母M6-1","E:\2025赛季\串联腿\防松螺母M6.SLDPRT","默认","0","0.99742084551341348;0.071775043958938009;-1.3860342795103335E-15;-0.071775043958938009;0.99742084551341348;-7.8999341936912725E-16;1.325757670577281E-15;8.87438575637637E-16;0.99999999999999989;0.092130215697428505;-0.0010302961354669881;0.063999999999999987;1;0;0;0"
"DM8009P-1","E:\2025赛季\DM8009P.SLDASM","默认","0","0.61898303398783794;-0.78540435677121823;-1.0506301009622792E-16;-9.9529349412047897E-17;5.5329501360254424E-17;-1;0.78540435677121823;0.61898303398783794;-4.3922762033822817E-17;0.095000000000000001;1.6979245214439253E-17;0.0097000000000000003;1;0;0;0"
"底盘骨架-1","E:\2025赛季\串联腿\底盘骨架.SLDPRT","默认","0","1.2325951644078309E-32;4.1633363423443389E-17;-1;-1;-2.7755575615628914E-17;6.3019603258025611E-17;8.3266726846886741E-17;1.0000000000000002;4.4935516350804211E-17;4.163336342344337E-17;-0.12049999999999997;-0.126;1;0;0;0"
"电机梁两头内嵌打印件-1","E:\2025赛季\串联腿\电机梁两头内嵌打印件.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-0.069999999999999979;-0.065500000000000017;-0.038800000000000001;1;0;0;0"
"小铝条M3-40-2","D:\WheelLeg\小铝条M3-40.SLDPRT","默认","2","5.1521287236511171E-16;-1.3814760291643321E-16;0.99999999999999989;6.5970244314579906E-17;0.99999999999999989;1.6629267811225077E-16;-0.99999999999999989;2.0925576999679734E-16;6.2276572787567375E-16;0.17500000000000007;-0.077499999999999999;-0.048999999999999981;1;0;0;0"
"小铝条M3-40-1","D:\WheelLeg\小铝条M3-40.SLDPRT","默认","2","8.1878948066105295E-16;-7.1152031777895831E-17;1;4.4282407901247024E-17;1;7.1152031777895794E-17;-1;4.4282407901246975E-17;8.1878948066105295E-16;0.17500000000000002;-0.043499999999999962;-0.048999999999999974;1;0;0;0"
"侧挂轴固定件-1","E:\2025赛季\串联腿\侧挂轴固定件.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-2.4033780269492043E-15;0.019999999999999768;-0.01;1;0;0;0"
"塞打螺栓 M6-φ8-20-9","E:\2025赛季\串联腿\塞打螺栓 M6-φ8-20.SLDPRT","默认","0","0.54318759918816428;0.83961135776512597;-1.0965255436531183E-16;-6.8103076525818631E-18;-1.2619324253044778E-16;-0.99999999999999989;-0.83961135776512585;0.54318759918816417;-6.2828592788901186E-17;-0.092130215697427909;-0.001030296135466217;0.034500000000000142;1;0;0;0"
"横梁内嵌打印件-1","E:\2025赛季\串联腿\横梁内嵌打印件.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-0.069999999999999937;-0.10049999999999996;-0.040000000000000008;1;0;0;0"
"小腿电机主动链轮20T-1","E:\2025赛季\串联腿\小腿电机主动链轮20T.SLDPRT","默认","0","0.58949472818213233;-0.80777222373975821;0;0.80777222373975821;0.58949472818213233;0;0;0;1;-0.099612047464149658;1.7872466896685561E-14;0.0089999999999999993;1;0;0;0"
"非标轴承14-28-8-1","E:\2025赛季\串联腿\非标轴承14-28-8.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-7.0055827802717247E-19;0.020000000000000011;0.026699999999999998;1;0;0;0"
"C620无刷电机调速器-1","E:\鹅颈方案1\正式版（大概吧）\C620无刷电机调速器.SLDASM","默认","0","0.81893525064380379;-0.57388592529610849;-1.1355054005292578E-16;3.6489629910965468E-17;2.4993326713136323E-16;-0.99999999999999989;0.57388592529610838;0.81893525064380368;2.2562004778775032E-16;-0.072311982631847835;-0.11953134553252791;0.064300000000000385;1;0;0;0"
"髋关节RA6008压紧盖-1","E:\2025赛季\串联腿\髋关节RA6008压紧盖.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;0;0.020000000000000011;-0.26800000000000002;1;0;0;0"
"云台装配-final-1","E:\鹅颈方案1\正式版（大概吧）\云台装配-final.SLDASM","默认","0","-0.99984474790905431;0;-0.017620444905845894;0;1;0;0.017620444905845894;0;-0.99984474790905431;-2.0599841277224584E-18;0.090393648272377641;-0.12199999999999998;1;0;0;0"
"包胶轴承 6-30-6-1","E:\2025赛季\串联腿\包胶轴承 6-30-6.SLDPRT","默认","0","0.97872241779429625;0.20518876408538322;0;-0.20518876408538322;0.97872241779429625;0;0;0;1;0.23412132034355965;-0.10539949493661191;-0.040000000000000008;1;0;0;0"
"大腿电机主动链轮20T-1","E:\2025赛季\串联腿\大腿电机主动链轮20T.SLDPRT","默认","0","0.4048039021388094;-0.91440352187269769;1.8541417325955887E-16;0.91440352187269769;0.4048039021388094;-2.0612401504117583E-16;1.1342414444888138E-16;2.5298317864684183E-16;0.99999999999999989;0.099612047464148493;-5.792542826020784E-15;0.018000000000000002;1;0;0;0"
"垫片 8-12-2-2","E:\2025赛季\串联腿\垫片 8-12-2.SLDPRT","默认","0","0.65342111404199044;0.75699461538647972;6.303246386395013E-17;-0.75699461538647972;0.65342111404199044;5.4408237418922851E-17;-2.4651903288156613E-32;-8.3266726846886765E-17;1;-0.092130215697427895;-0.0010302961354661715;-0.30300000000000005;1;0;0;0"
"法兰轴承F698 8-19-6-19","E:\2025赛季\串联腿\法兰轴承F698 8-19-6.SLDPRT","默认","0","-0.54156817195081131;0.84065683553389181;1.333319041095814E-17;1.1408256170817683E-15;7.5080342856873344E-16;-1;-0.84065683553389159;-0.54156817195081119;-1.365654093456329E-15;4.1956276967639468E-17;-0.065592462731278375;-0.316;1;0;0;0"
"MT2042-6线5A-2","E:\2025赛季\滑环\MT2042-6线5A.SLDPRT","默认","0","0.99969484918727847;0.024702398839476045;-7.7198770908385142E-17;-0.024702398839476045;0.99969484918727847;1.0837702426038124E-16;7.9852386119016853E-17;-1.0643695809445157E-16;1;-1.8233954300959451E-16;0.020000000000000028;-0.36290000000000006;1;0;0;0"
"膝关节垫板-2","E:\2025赛季\串联腿\膝关节垫板.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-0.20473381266095089;-0.026733991412147155;-0.30190000000000039;1;0;0;0"
"膝关节轴承座-4","E:\2025赛季\串联腿\膝关节轴承座.SLDPRT","默认","0","6.938893903907253E-18;7.6327832942979549E-17;-1;-0.22431993281025239;0.97451555541407542;7.2826128299678529E-17;0.97451555541407542;0.22431993281025239;2.388391440404686E-17;-0.20897345939106468;-0.0083156474148211243;-0.29100000000000026;1;0;0;0"
"装甲板侧挂轴-2","E:\2025赛季\串联腿\装甲板侧挂轴.SLDPRT","默认","0","-1;1.0263416486754036E-48;-2.4651903288156619E-32;-1.0263416486754036E-48;1;8.3266726846886778E-17;2.4651903288156619E-32;8.3266726846886778E-17;-1;-7.0055827802716959E-19;0.020000000000000021;-0.24099999999999711;1;0;0;0"
"髋关节轴承座-2","E:\2025赛季\串联腿\髋关节轴承座.SLDPRT","默认","0","0.33171304809788205;0.94338033354613249;-1.8796838433280205E-17;0.94338033354613249;-0.33171304809788205;-4.4257922708641972E-18;-1.0410361960000555E-17;-1.626447466638423E-17;-1;-9.141219385620283E-20;0.020000000000000025;-0.29400000000000004;1;0;0;0"
"RA6008-2","E:\2025赛季\串联腿\RA6008.SLDPRT","默认","0","-0.99998632158689205;-0.0052303574559515748;-4.3551474559632212E-19;-0.0052303574559515748;0.99998632158689205;8.3265587890198806E-17;2.4651903288156613E-32;8.3266726846886753E-17;-1;-2.967925398026354E-20;0.020000000000000011;-0.26050000000000001;1;0;0;0"
"膝关节轴承座-3","E:\2025赛季\串联腿\膝关节轴承座.SLDPRT","默认","0","-6.9388939039072546E-18;-1.2490009027033016E-16;1;0.26832283438395127;0.96332904894857341;1.2218174885349404E-16;-0.96332904894857341;0.26832283438395127;2.6829108170940332E-17;-0.1996625110910942;-0.0085270723870191217;-0.2920000000000002;1;0;0;0"
