mate_name,mate_type,alignment,entity_index,component,entity_params,error_code,suppressed
"重合41","0","1","0","膝关节节点连杆-1","-0.092130215697427881;-0.0010302961354661994;0.052500000000000005;-9.4418487957000474E-16;-1.3165968930616527E-15;-1;0;0","0","False"
"重合41","0","1","1","法兰轴承F698 8-19-6-4","0.0097517829626554229;-0.070681935105627647;0.052499999999999998;3.6699235199394774E-17;-4.6677113868790942E-18;1;0;0","0","False"
"重合42","0","1","0","垫片 8-12-0.5-2","2.9681873533229396E-17;-0.065592462731278417;0.050999999999999997;0;0;1;0;0","0","False"
"重合42","0","1","1","法兰轴承F698 8-19-6-4","2.9681873533229396E-17;-0.065592462731278417;0.050999999999999997;-3.6699235199394774E-17;4.6677113868790942E-18;-1;0;0","0","False"
"同心44","1","0","0","垫片 8-12-0.5-2","2.9681873533229396E-17;-0.065592462731278417;0.050999999999999997;0;0;-1;0.0040000000000000001;0","0","False"
"同心44","1","0","1","法兰轴承F698 8-19-6-4","2.9902068944425765E-17;-0.065592462731278417;0.056999999999999995;-3.6699235199394774E-17;4.6677113868790942E-18;-1;0.0040000000000000001;0","0","False"
"重合43","0","1","0","膝关节一级长连杆-1","0.092130215697428505;-0.0010302961354669913;0.050499999999999996;-1.0500735297373581E-17;4.9746110708877625E-18;1;0;0","0","False"
"重合43","0","1","1","垫片 8-12-0.5-2","2.9681873533229396E-17;-0.065592462731278417;0.050499999999999996;0;0;-1;0;0","0","False"
"同心45","1","0","0","大腿-1","-0.092130215697427922;-0.0010302961354662181;0.034000000000000127;9.4390396132005863E-16;1.3175316874388402E-15;1;0.0040000000000000062;0","0","False"
"同心45","1","0","1","法兰轴承F698 8-19-6-5","-0.092130215697427881;-0.0010302961354661775;0.064000000000000001;1.1408256170817752E-15;6.6753670172185774E-16;1;0.0094999999999999998;0","0","False"
"重合44","0","1","0","膝关节节点连杆-1","-0.092130215697427867;-0.0010302961354661862;0.0625;9.4418487957000474E-16;1.3165968930616527E-15;1;0;0","0","False"
"重合44","0","1","1","法兰轴承F698 8-19-6-5","-0.10022559366704106;-0.0084777692323696856;0.062500000000000014;-1.1408256170817752E-15;-6.6753670172185774E-16;-1;0;0","0","False"
"重合47","0","1","0","垫片 8-12-2-1","-0.092130215697427895;-0.0010302961354661862;0.051000000000000018;0;0;1;0;0","0","False"
"重合47","0","1","1","法兰轴承F698 8-19-6-6","-0.092130215697427895;-0.0010302961354661947;0.051000000000000018;5.2041704279304213E-18;0;-1;0;0","0","False"
"同心48","1","1","0","法兰轴承F698 8-19-6-5","-0.092130215697427881;-0.0010302961354661814;0.058000000000000003;1.1408256170817752E-15;6.6753670172185774E-16;1;0.0040000000000000001;0","0","False"
"同心48","1","1","1","垫片 8-12-2-1","-0.092130215697427895;-0.0010302961354661862;0.051000000000000018;0;0;-1;0.0040000000000000001;0","0","False"
"同心49","1","1","0","大腿-1","-0.092130215697427922;-0.0010302961354662181;0.034000000000000127;9.4390396132005863E-16;1.3175316874388402E-15;1;0.0040000000000000062;0","0","False"
"同心49","1","1","1","法兰轴承F698 8-19-6-6","-0.092130215697427895;-0.0010302961354661947;0.051000000000000018;5.2041704279304213E-18;0;-1;0.0094999999999999998;0","0","False"
"重合48","0","1","0","膝关节节点连杆-1","-0.092130215697427881;-0.0010302961354661994;0.052500000000000005;-9.4418487957000474E-16;-1.3165968930616527E-15;-1;0;0","0","False"
"重合48","0","1","1","法兰轴承F698 8-19-6-6","-0.09095059207916549;-0.011966862695371432;0.052500000000000019;-5.2041704279304213E-18;0;1;0;0","0","False"
"同心50","1","0","0","膝关节节点连杆-1","-0.13389259229313683;0.048778376814916501;0.062499999999999979;-9.4418487957000474E-16;-1.3165968930616527E-15;-1;0.0095000000000000015;0","0","False"
"同心50","1","0","1","法兰轴承F698 8-19-6-8","-0.13389259229313683;0.04877837681491648;0.050999999999999962;-2.4061402919670039E-17;-1.2948102237673886E-16;-1;0.0094999999999999998;0","0","False"
"重合49","0","1","0","膝关节节点连杆-1","-0.092130215697427881;-0.0010302961354661994;0.052500000000000005;-9.4418487957000474E-16;-1.3165968930616527E-15;-1;0;0","0","False"
"重合49","0","1","1","法兰轴承F698 8-19-6-8","-0.1359385647005342;0.059586429225418965;0.052499999999999963;2.4061402919670039E-17;1.2948102237673886E-16;1;0;0","0","False"
"同心51","1","1","0","膝关节节点连杆-1","-0.13389259229313683;0.048778376814916501;0.062499999999999979;-9.4418487957000474E-16;-1.3165968930616527E-15;-1;0.0095000000000000015;0","0","False"
"同心51","1","1","1","法兰轴承F698 8-19-6-7","-0.13389259229313683;0.048778376814916494;0.063999999999999974;1.1408256170817689E-15;6.6753670172184709E-16;1;0.0094999999999999998;0","0","False"
"重合50","0","1","0","膝关节节点连杆-1","-0.092130215697427867;-0.0010302961354661862;0.0625;9.4418487957000474E-16;1.3165968930616527E-15;1;0;0","0","False"
"重合50","0","1","1","法兰轴承F698 8-19-6-7","-0.12468987644251897;0.042752597116588083;0.062499999999999965;-1.1408256170817689E-15;-6.6753670172184709E-16;-1;0;0","0","False"
"重合51","0","1","0","垫片 8-12-0.5-4","-0.13389259229313683;0.04877837681491648;0.063999999999999974;0;0;-1;0;0","0","False"
"重合51","0","1","1","法兰轴承F698 8-19-6-7","-0.13389259229313683;0.048778376814916494;0.063999999999999974;1.1408256170817689E-15;6.6753670172184709E-16;1;0;0","0","False"
"同心52","1","0","0","垫片 8-12-0.5-4","-0.13389259229313683;0.04877837681491648;0.064499999999999974;0;0;-1;0.0040000000000000001;0","0","False"
"同心52","1","0","1","法兰轴承F698 8-19-6-8","-0.13389259229313683;0.04877837681491648;0.056999999999999967;-2.4061402919670039E-17;-1.2948102237673886E-16;-1;0.0040000000000000001;0","0","False"
"重合52","0","1","0","垫片 8-12-0.5-4","-0.13389259229313683;0.04877837681491648;0.064499999999999974;0;0;1;0;0","0","False"
"重合52","0","1","1","膝关节二级长连杆-1","-0.24649618925665986;0.023074681538235498;0.064499999999999974;3.0867466700753498E-16;-1.9711932361444538E-16;-1;0;0","0","False"
"同心53","1","1","0","小腿-1","-0.24649618925665986;0.023074681538235501;0.061900000000000371;-8.9793101108872838E-22;9.4689595978045292E-22;-1;0.0095000000000000015;0","0","False"
"同心53","1","1","1","法兰轴承F698 8-19-6-9","-0.24649618925665986;0.023074681538235501;0.063400000000000373;1.1408256170817689E-15;6.6753670172184709E-16;1;0.0094999999999999998;0","0","False"
"重合53","0","1","0","小腿-1","-0.20473381266095089;-0.026733991412147166;0.061900000000000371;8.9793101108872838E-22;-9.4689595978045292E-22;1;0;0","0","False"
"重合53","0","1","1","法兰轴承F698 8-19-6-9","-0.23729347340604201;0.017048901839907087;0.061900000000000364;-1.1408256170817689E-15;-6.6753670172184709E-16;-1;0;0","0","False"
"重合54","0","1","0","法兰轴承F698 8-19-6-9","-0.24649618925665986;0.023074681538235501;0.063400000000000373;1.1408256170817689E-15;6.6753670172184709E-16;1;0;0","0","False"
"重合54","0","1","1","垫片 8-12-1-1","-0.24649618925665986;0.023074681538235501;0.063400000000000373;0;0;-1;0;0","0","False"
"同心54","1","1","0","法兰轴承F698 8-19-6-9","-0.24649618925665986;0.023074681538235498;0.057400000000000374;1.1408256170817689E-15;6.6753670172184709E-16;1;0.0040000000000000001;0","0","False"
"同心54","1","1","1","垫片 8-12-1-1","-0.24649618925665986;0.023074681538235501;0.064400000000000374;0;0;-1;0.0040000000000000001;0","0","False"
"同心55","1","0","0","小腿-1","-0.24649618925665986;0.023074681538235501;0.061900000000000371;-8.9793101108872838E-22;9.4689595978045292E-22;-1;0.0095000000000000015;0","0","False"
"同心55","1","0","1","法兰轴承F698 8-19-6-10","-0.24649618925665986;0.023074681538235501;0.048400000000000394;0;-2.0816681711721685E-17;-1;0.0094999999999999998;0","0","False"
"重合55","0","1","0","小腿-1","-0.20473381266095089;-0.026733991412147166;0.049900000000000375;-8.9793101108872838E-22;9.4689595978045292E-22;-1;0;0","0","False"
"重合55","0","1","1","法兰轴承F698 8-19-6-10","-0.24354704220763959;0.012477392654598561;0.049900000000000395;0;2.0816681711721685E-17;1;0;0","0","False"
"同心56","1","1","0","法兰轴承F698 8-19-6-2","0.092130215697428505;-0.001030296135466992;0.057999999999999989;1.1408256170817766E-15;6.6753670172185981E-16;1;0.0040000000000000001;0","0","False"
"同心56","1","1","1","塞打螺栓 M6-φ8-20-1","0.092130215697428477;-0.0010302961354670057;0.037500000000000006;-1.1657341758564148E-15;-6.6613381477509412E-16;-1;0.0039999999999999983;0","0","False"
"同心57","1","1","0","塞打螺栓 M6-φ8-20-1","0.092130215697428477;-0.0010302961354670057;0.037500000000000006;-1.1657341758564148E-15;-6.6613381477509412E-16;-1;0.0029999999999999966;0","0","False"
"同心57","1","1","1","防松螺母M6-1","0.092130215697428505;-0.0010302961354669881;0.063999999999999987;1.3257576705772812E-15;8.874385756376372E-16;1;0.0030000000000000005;0","0","False"
"重合57","0","1","0","膝关节一级长连杆-1","0.092564428860293022;0.00097169188372558165;0.040500000000000001;1.0500735297373698E-17;-4.9746110708877926E-18;-1;0;0","0","True"
"重合57","0","1","1","防松螺母M6-1","0.092564428860293008;0.00097169188372556929;0.040500000000000001;1.2212453270876722E-15;8.3266726846886741E-16;1;0;0","0","True"
"同心58","1","1","0","法兰轴承F698 8-19-6-3","3.5111323265148857E-17;-0.065592462731278403;0.058000000000000003;1.1408256170817685E-15;6.675367017218468E-16;1;0.0040000000000000001;0","0","False"
"同心58","1","1","1","塞打螺栓 M6-φ8-20-2","1.1724398114972597E-17;-0.065592462731278417;0.037499999999999999;-1.1325426831307235E-15;-6.8738131985788651E-16;-1;0.0039999999999999983;0","0","False"
"重合58","0","1","0","膝关节一级长连杆-1","5.5511151231257827E-17;-0.065592462731278417;0.042999999999999997;1.0500735297373581E-17;-4.9746110708877625E-18;-1;0;0","0","False"
"重合58","0","1","1","塞打螺栓 M6-φ8-20-2","-0.00026214087087747561;-0.059097750869785588;0.042999999999999997;1.1325426831307235E-15;6.8738131985788651E-16;1;0;0","0","False"
