instance,path,configuration,suppression_state,transform_4x4
"法兰轴承F698 8-19-6-改1.15-17","D:\WheelLeg\法兰轴承F698 8-19-6-改1.15.SLDPRT","默认","2","7.8062556418956319E-17;-0.99417168119563049;0.10780847976227909;1;8.25189268274532E-17;3.6874871107708468E-17;-4.5556192655905184E-17;0.10780847976227909;0.99417168119563049;-0.17899999999999999;-6.3553944416015297E-15;0.02322993020201514;1;0;0;0"
"防松螺母M6-改1.15-10","D:\WheelLeg\防松螺母M6-改1.15.SLDPRT","默认","2","1.530978608924401E-16;0.82189334516865453;0.56964140401438434;-2.352266560481541E-16;0.56964140401438434;-0.82189334516865453;-1;-8.1647295858262373E-18;2.8054210364262236E-16;-0.19200000000000081;-6.3567549299697579E-15;0.023229930202015137;1;0;0;0"
"防松螺母M6-改1.15-11","D:\WheelLeg\防松螺母M6-改1.15.SLDPRT","默认","2","1.5315513045089958E-16;0.82175462182760572;0.56984150560043345;-2.3518937208557197E-16;0.56984150560043345;-0.82175462182760572;-1;-8.1647295858262373E-18;2.8054210364262261E-16;-0.19200000000000073;0.087263435437207326;0.094232344496849141;1;0;0;0"
"塞打螺栓 M6-φ8-20-改1.15-10","D:\WheelLeg\塞打螺栓 M6-φ8-20-改1.15.SLDPRT","默认","2","3.3480163086352377E-16;-0.87372598689482706;0.48641844108201787;1;1.9505279922083427E-16;-3.3793729325320727E-16;2.0038731653054312E-16;0.48641844108201787;0.87372598689482706;-0.16549999999999995;0.087263435437207326;0.094232344496849141;1;0;0;0"
"膝关节一级长连杆-改1.15-2","D:\WheelLeg\膝关节一级长连杆-改1.15.SLDPRT","默认","2","1.1263133670750493E-16;0.7756749816636781;0.63113257151018021;-1.5053461709195705E-16;-0.63113257151018021;0.7756749816636781;1;-1.8237261002189658E-16;4.5680631183716056E-17;-0.17849999999999999;-2.2634504878688103E-14;0.023229930202015157;1;0;0;0"
"塞打螺栓M6-φ8-20-改1.15-2","D:\WheelLeg\塞打螺栓M6-φ8-20-改1.15.SLDPRT","默认","2","-0.98890479233873951;-0.14855070410292409;-1.0650711619906779E-14;-3.1315697830077812E-16;-6.9612791442213489E-14;1;-0.14855070410292409;0.98890479233873951;6.8793903375660789E-14;-0.11950000000000296;7.2033689532710775E-15;0.1409999999999999;1;0;0;0"
"碗组轴承32.7-41.8-6-改1.15-3","D:\WheelLeg\碗组轴承32.7-41.8-6-改1.15.SLDPRT","默认","2","1.2490009027033011E-16;-0.62078200083848079;0.78398323160318473;-4.1633363423443413E-17;-0.78398323160318462;-0.62078200083848067;1;4.4895869143701364E-17;-1.2376481904530368E-16;-0.17600000000000002;-0.19391874541603685;0.049905209992997954;1;0;0;0"
"2_新小腿主动连杆-2","D:\WheelLeg\2_新小腿主动连杆.SLDPRT","默认","2","2.4224727920943046E-16;0.92342259721919329;-0.38378471431905642;2.9663945928781443E-16;0.38378471431905631;0.92342259721919306;1;-3.375423018753885E-16;-1.8095277708729081E-16;-0.19050000000000075;-6.3203109926490274E-15;0.13050000000000003;1;0;0;0"
"2_髋关节RA6008压紧盖-2","D:\WheelLeg\2_髋关节RA6008压紧盖.SLDPRT","默认","2","3.3041751973191154E-16;1;8.3266726846886741E-17;3.6233640473338429E-16;-8.3266726846886864E-17;1;1;-3.3041751973191149E-16;-3.6233640473338433E-16;-0.14180000000000001;-9.6704852897009436E-15;0.1305;1;0;0;0"
"镜向大腿-3","D:\WheelLeg\镜向大腿.SLDPRT","默认","2","-1.2346779776088598E-16;-0.92342259721919306;-0.3837847143190567;-2.7205053503278211E-16;0.3837847143190567;-0.92342259721919306;0.99999999999999989;-9.604117613388575E-18;-2.9860266512610743E-16;-0.16199999999999976;-6.3058823823384805E-15;0.1305;1;0;0;0"
