rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
62,0.458823,-0.1200,+0.1200,-0.1200,+0.1200,+0.0600,+1.0000,-0.6000,-0.3000,0.002854,0.185788,0.086660,0.277213,0.138148,0.001844,0.011250,False,False
63,0.458924,-0.1800,-0.1800,+0.1800,+0.1800,+0.0600,+4.0000,+0.2000,+0.0000,0.036722,0.173467,0.084285,0.271533,0.015540,0.004506,0.000000,False,False
64,0.459748,-0.1200,-0.1200,+0.1200,+0.1200,+0.0600,+1.0000,+0.6000,+0.3000,0.024658,0.192965,0.085584,0.275962,0.016847,0.003311,0.012500,False,False
65,0.459768,-0.1800,+0.1800,-0.1800,+0.1800,-0.0600,+8.0000,+0.6000,+0.3000,0.002943,0.164956,0.086846,0.284701,0.199081,0.001634,0.013750,False,False
66,0.459904,-0.1800,+0.1800,-0.1800,+0.1800,-0.0600,+8.0000,+0.2000,-0.3000,0.002897,0.164604,0.086815,0.284947,0.198976,0.001705,0.012500,False,False
67,0.460984,-0.1200,+0.1200,-0.1200,+0.1200,+0.0600,-1.0000,+0.2000,+0.3000,0.002877,0.189784,0.086673,0.278325,0.137887,0.001998,0.000000,False,False
68,0.461269,+0.1200,-0.1200,+0.1200,-0.1200,-0.0600,-4.0000,-1.5000,-0.3000,0.002768,0.162749,0.085973,0.280391,0.136207,0.003059,0.028750,False,False
69,0.463019,+0.1200,+0.1200,-0.1200,-0.1200,+0.0600,-4.0000,+0.2000,-0.3000,0.025486,0.202815,0.085416,0.271721,0.016781,0.003147,0.001250,False,False
70,0.463198,+0.1200,-0.1200,+0.1200,-0.1200,-0.0600,+1.0000,+1.5000,-0.3000,0.002826,0.170190,0.085995,0.274072,0.136383,0.002947,0.021250,False,False
71,0.465835,-0.1800,+0.1800,-0.1800,+0.1800,-0.0600,+4.0000,+0.2000,-0.3000,0.002907,0.171798,0.086831,0.281946,0.199228,0.001911,0.000000,False,False
72,0.465955,-0.1800,-0.1800,+0.1800,+0.1800,-0.0600,-4.0000,+0.2000,+0.0000,0.037108,0.172362,0.083925,0.280668,0.021912,0.004619,0.000000,False,False
73,0.466242,+0.1200,-0.1200,+0.1200,-0.1200,+0.0600,+8.0000,-0.6000,+0.3000,0.002939,0.179125,0.085986,0.279664,0.136157,0.002390,0.021250,False,False
74,0.466248,+0.1200,-0.1200,+0.1200,-0.1200,+0.0600,-4.0000,+0.2000,+0.3000,0.002794,0.185136,0.085986,0.278761,0.136364,0.002623,0.000000,False,False
75,0.466757,+0.1800,+0.1800,-0.1800,-0.1800,-0.0600,-4.0000,+1.5000,+0.3000,0.037293,0.164899,0.084116,0.271644,0.017721,0.004288,0.037500,False,False
76,0.467556,-0.1800,+0.1800,-0.1800,+0.1800,-0.0600,-4.0000,-0.6000,+0.0000,0.002788,0.172669,0.086838,0.276877,0.198214,0.001743,0.010000,False,False
77,0.470838,-0.1200,+0.1200,-0.1200,+0.1200,+0.0600,+1.0000,+0.2000,+0.3000,0.002900,0.194176,0.086657,0.285355,0.139207,0.002044,0.000000,False,False
78,0.471507,-0.1800,+0.1800,-0.1800,+0.1800,-0.0600,+4.0000,+0.6000,+0.3000,0.002926,0.173482,0.086812,0.286061,0.199030,0.001606,0.013750,False,False
79,0.471607,+0.1200,-0.1200,+0.1200,-0.1200,+0.0600,+4.0000,+0.6000,+0.0000,0.002906,0.184493,0.085990,0.277290,0.136207,0.002581,0.012500,False,False
80,0.472681,-0.1800,-0.1800,+0.1800,+0.1800,-0.0600,+8.0000,+0.6000,-0.3000,0.036472,0.174309,0.084325,0.269888,0.015286,0.004691,0.016250,False,False
