rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
73,0.187332,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.5000,-0.5000,0.000001,0.004489,0.084667,0.001301,0.014801,0.001977,0.000000,False,True
74,0.187358,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,-1.0000,-0.5000,0.000001,0.006671,0.084654,0.001133,0.014001,0.002001,0.000000,False,True
75,0.187370,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+1.5000,+0.5000,0.000001,0.004567,0.084675,0.001253,0.014721,0.001982,0.000000,False,True
76,0.187449,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+1.0000,+0.5000,0.000001,0.004596,0.084676,0.001232,0.014525,0.001991,0.000000,False,True
77,0.187516,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-2.0000,-0.3000,0.000001,0.004549,0.084702,0.001297,0.013416,0.002021,0.000000,False,True
78,0.187518,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.5000,-0.3000,0.000000,0.004432,0.084678,0.001275,0.014160,0.002003,0.000000,False,True
79,0.187525,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+1.5000,+0.0000,0.000001,0.004420,0.084674,0.001271,0.014395,0.001997,0.000000,False,True
80,0.187670,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+1.0000,+0.0000,0.000001,0.004567,0.084684,0.001264,0.014105,0.002012,0.000000,False,True
81,0.187672,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+2.0000,-0.5000,0.000001,0.004452,0.084656,0.001241,0.015057,0.001988,0.000000,False,True
82,0.187682,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+1.5000,+0.5000,0.000001,0.004956,0.084617,0.001111,0.016254,0.001961,0.000000,False,True
83,0.187695,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+1.5000,+0.3000,0.000001,0.004849,0.084672,0.001215,0.014065,0.002015,0.000000,False,True
84,0.187780,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,+2.0000,+0.5000,0.000002,0.004572,0.084673,0.000992,0.015091,0.001997,0.000000,False,True
85,0.187870,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,-3.0000,+0.5000,0.000001,0.004385,0.084653,0.001211,0.015102,0.001998,0.000000,False,True
86,0.188021,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+3.0000,+0.3000,0.000001,0.005145,0.084621,0.001036,0.015131,0.002007,0.000000,False,True
87,0.188077,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-1.5000,+0.5000,0.002508,0.007751,0.085875,0.019455,0.017265,0.001555,0.000000,False,True
88,0.188136,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+0.5000,-0.5000,0.000001,0.006976,0.084693,0.001190,0.013550,0.002050,0.000000,False,True
89,0.188208,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,-2.0000,+0.3000,0.000001,0.004544,0.084639,0.001238,0.015429,0.002006,0.000000,False,True
90,0.188283,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,-1.5000,-0.5000,0.000001,0.004605,0.084664,0.001259,0.015184,0.002016,0.000000,False,True
91,0.188366,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+2.0000,-0.5000,0.000004,0.004897,0.084680,0.000813,0.014560,0.002004,0.001250,False,True
92,0.188722,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.5000,+1.5000,-0.3000,0.000001,0.005360,0.084694,0.001133,0.013679,0.002077,0.000000,False,True
