index,label,action_LL,action_Lcrank,action_RL,action_Rcrank,baseline_height,mean_height,height_delta,min_height,max_height,mean_roll,mean_pitch,max_abs_roll,max_abs_pitch,max_abs_dof_velocity,max_target_error,max_abs_wheel_action,finite,done_seen,position_LL,target_LL,position_Lcrank,target_Lcrank,position_RL,target_RL,position_Rcrank,target_Rcrank
10,combo_a0p20_nnnp,-0.2,-0.2,-0.2,0.2,0.08636510372161865,0.08603006601333618,-0.0003350377082824707,0.08602554351091385,0.08636602014303207,0.03577501326799393,-0.0018623945070430636,0.03579321876168251,0.0018930388614535332,0.47257405519485474,0.06022842600941658,0.5069797039031982,True,False,-0.06378927826881409,-0.059999980032444,-0.06372331082820892,-0.059999980032444,0.0002284473303006962,-0.059999980032444,0.0007945920806378126,0.059999980032444
11,combo_a0p20_nnpn,-0.2,-0.2,0.2,-0.2,0.0863640308380127,0.08601003885269165,-0.0003539919853210449,0.08600491285324097,0.08636710792779922,0.03438442200422287,-0.0017146151512861252,0.034393250942230225,0.0017477486981078982,0.6556324362754822,0.06019311770796776,0.48759883642196655,True,False,-0.06401655077934265,-0.059999980032444,-0.06395436823368073,-0.059999980032444,0.0007099802605807781,0.059999980032444,0.00019313921802677214,-0.059999980032444
12,combo_a0p20_nnpp,-0.2,-0.2,0.2,0.2,0.08659309893846512,0.08627603948116302,-0.0003170594573020935,0.08627086132764816,0.0865965336561203,0.015870818868279457,7.510525028919801e-05,0.015976237133145332,0.0010842427145689726,0.48251089453697205,0.005430832505226135,0.22690781950950623,True,False,-0.06543081253767014,-0.059999980032444,-0.06538544595241547,-0.059999980032444,0.06232210621237755,0.059999980032444,0.06228549778461456,0.059999980032444
13,combo_a0p20_npnn,-0.2,0.2,-0.2,-0.2,0.08636609464883804,0.08601181209087372,-0.00035428255796432495,0.08600849658250809,0.08636733144521713,0.033896300941705704,0.0015141930198296905,0.033910106867551804,0.001560511183924973,0.6625135540962219,0.05981927365064621,0.4807601571083069,True,False,-0.0004205944132991135,-0.059999980032444,0.000180707240360789,0.059999980032444,-0.06303943693637848,-0.059999980032444,-0.06299014389514923,-0.059999980032444
14,combo_a0p20_npnp,-0.2,0.2,-0.2,0.2,0.0863649994134903,0.08639974147081375,3.474205732345581e-05,0.0863649994134903,0.08640234917402267,0.015665648505091667,-6.828315963502973e-05,0.015696698799729347,7.766217458993196e-05,0.2456158697605133,0.06141914054751396,0.22495117783546448,True,False,-0.0020023162942379713,-0.059999980032444,-0.0014191592345014215,0.059999980032444,-0.0013285550521686673,-0.059999980032444,-0.00076645752415061,0.059999980032444
15,combo_a0p20_nppn,-0.2,0.2,0.2,-0.2,0.08659431338310242,0.08659320324659348,-1.1101365089416504e-06,0.08659147471189499,0.08659585565328598,0.014715100638568401,0.0012169189285486937,0.014723928645253181,0.0012334103230386972,0.274501234292984,0.061440400779247284,0.20796817541122437,True,False,-0.002019704319536686,-0.059999980032444,-0.0014404188841581345,0.059999980032444,-0.0010114419274032116,0.059999980032444,-0.0015455459943041205,-0.059999980032444
16,combo_a0p20_nppp,-0.2,0.2,0.2,0.2,0.08636494725942612,0.08623296767473221,-0.0001319795846939087,0.08623071014881134,0.08638691902160645,-0.004231278784573078,0.0008186461636796594,0.014311429113149643,0.0008364760433323681,0.7316763401031494,0.0632762610912323,0.20662818849086761,True,False,-0.00387108838185668,-0.059999980032444,-0.0032762805931270123,0.059999980032444,0.06098519638180733,0.059999980032444,0.06092647463083267,0.059999980032444
17,combo_a0p20_pnnn,0.2,-0.2,-0.2,-0.2,0.08659584075212479,0.08622419834136963,-0.00037164241075515747,0.08621584624052048,0.08659680932760239,0.0328221321105957,0.0025769127532839775,0.0328286774456501,0.0026202197186648846,0.586709201335907,0.05998042970895767,0.46568548679351807,True,False,1.9550388969946653e-05,0.059999980032444,-0.0005058036185801029,-0.059999980032444,-0.06340635567903519,-0.059999980032444,-0.06336260586977005,-0.059999980032444
18,combo_a0p20_pnnp,0.2,-0.2,-0.2,0.2,0.08659520745277405,0.08659446984529495,-7.37607479095459e-07,0.0865904688835144,0.08660044521093369,0.01467940304428339,0.0008687414228916168,0.014689485542476177,0.001028207247145474,0.30712443590164185,0.061532046645879745,0.20816770195960999,True,False,-0.0015320653328672051,0.059999980032444,-0.0020848154090344906,-0.059999980032444,-0.0016046282835304737,-0.059999980032444,-0.00104980927426368,0.059999980032444
19,combo_a0p20_pnpn,0.2,-0.2,0.2,-0.2,0.08659543097019196,0.086558036506176,-3.739446401596069e-05,0.08655520528554916,0.08659543097019196,0.014181135222315788,0.0010224450379610062,0.0146412905305624,0.0010287752375006676,0.24884817004203796,0.06209634244441986,0.20685315132141113,True,False,-0.0020963626448065042,0.059999980032444,-0.0026513512711972,-0.059999980032444,-0.0007458403706550598,0.059999980032444,-0.001298142597079277,-0.059999980032444
20,combo_a0p20_pnpp,0.2,-0.2,0.2,0.2,0.08659437298774719,0.08643228560686111,-0.00016208738088607788,0.08643079549074173,0.08660759031772614,-0.004703660495579243,0.001678314758464694,0.015124134719371796,0.0016868136590346694,0.7908200025558472,0.06150469928979874,0.21251502633094788,True,False,-0.001504720188677311,0.059999980032444,-0.0020774519070982933,-0.059999980032444,0.05878110229969025,0.059999980032444,0.05874037742614746,0.059999980032444
21,combo_a0p20_ppnn,0.2,0.2,-0.2,-0.2,0.086365707218647,0.08605493605136871,-0.0003107711672782898,0.08605391532182693,0.08636702597141266,0.014111735858023167,0.0007658114773221314,0.014526288956403732,0.0007863374194130301,0.4610978364944458,0.003305859863758087,0.2073695957660675,True,False,0.06015956401824951,0.059999980032444,0.06013106182217598,0.059999980032444,-0.06330583989620209,-0.059999980032444,-0.06327610462903976,-0.059999980032444
22,combo_a0p20_ppnp,0.2,0.2,-0.2,0.2,0.08659245818853378,0.08645907789468765,-0.00013338029384613037,0.08644579350948334,0.08662119507789612,-0.004999351222068071,0.00020621389558073133,0.015145358629524708,0.0010366332717239857,0.7643542885780334,0.06517770141363144,0.2147437185049057,True,False,0.06284216046333313,0.059999980032444,0.06276962161064148,0.059999980032444,-0.005768038332462311,-0.059999980032444,-0.005177719052881002,0.059999980032444
23,combo_a0p20_pppn,0.2,0.2,0.2,-0.2,0.08636900037527084,0.08624067902565002,-0.0001283213496208191,0.08620669692754745,0.08637849986553192,-0.005038968753069639,-0.0007034335867501795,0.014358198270201683,0.0007933526649139822,0.640741765499115,0.06053362041711807,0.2079717516899109,True,False,0.058947738260030746,0.059999980032444,0.0588570199906826,0.059999980032444,-0.0005336418398655951,0.059999980032444,-0.0011054992210119963,-0.059999980032444
24,combo_a0p20_pppp,0.2,0.2,0.2,0.2,0.08636526018381119,0.08587365597486496,-0.000491604208946228,0.0858687236905098,0.08639025688171387,-0.02456817775964737,-8.081281703198329e-05,0.024601882323622704,0.00015369043103419244,1.2028101682662964,0.0013714395463466644,0.3578784465789795,True,False,0.058672741055488586,0.059999980032444,0.058628540486097336,0.059999980032444,0.058843549340963364,0.059999980032444,0.05878366157412529,0.059999980032444
25,combo_a0p40_nnnn,-0.4,-0.4,-0.4,-0.4,0.08636630326509476,0.08061335235834122,-0.00575295090675354,0.07929321378469467,0.09004440158605576,0.262986958026886,-0.00034633121686056256,0.2729453444480896,0.012666301801800728,28.035402297973633,0.012653514742851257,1.0,True,False,-0.13054360449314117,-0.119999960064888,-0.1310257464647293,-0.119999960064888,-0.13209226727485657,-0.119999960064888,-0.13265347480773926,-0.119999960064888
26,combo_a0p40_nnnp,-0.4,-0.4,-0.4,0.4,0.08659637719392776,0.08378248661756516,-0.00281389057636261,0.08226615190505981,0.09148982912302017,0.26840710639953613,-0.015309957787394524,0.288850873708725,0.029562024399638176,28.061450958251953,0.12417904287576675,1.0,True,False,-0.12903526425361633,-0.119999960064888,-0.1300109177827835,-0.119999960064888,-0.00561139453202486,-0.119999960064888,-0.004179082345217466,0.119999960064888
27,combo_a0p40_nnpn,-0.4,-0.4,0.4,-0.4,0.08636756241321564,0.0837816670536995,-0.002585895359516144,0.08237390220165253,0.09112352877855301,0.2688550055027008,-0.015534177422523499,0.276660293340683,0.027073245495557785,28.09499740600586,0.12352976948022842,1.0,True,False,-0.12888598442077637,-0.119999960064888,-0.12872324883937836,-0.119999960064888,-0.0035298080183565617,0.119999960064888,-0.004880580585449934,-0.119999960064888
28,combo_a0p40_nnpp,-0.4,-0.4,0.4,0.4,0.08636537194252014,0.08511326462030411,-0.001252107322216034,0.08510813862085342,0.086370550096035,0.016257276758551598,-0.001962452894076705,0.016273627057671547,0.0019794537220150232,0.6208349466323853,0.008544743061065674,0.23095794022083282,True,False,-0.12854470312595367,-0.119999960064888,-0.12848389148712158,-0.119999960064888,0.12545545399188995,0.119999960064888,0.12534970045089722,0.119999960064888
29,combo_a0p40_npnn,-0.4,0.4,-0.4,-0.4,0.08659442514181137,0.08412135392427444,-0.0024730712175369263,0.08226054906845093,0.09103813022375107,0.26773127913475037,0.013466964475810528,0.302151620388031,0.03963583707809448,28.12254524230957,0.1289139837026596,1.0,True,False,-0.010397487320005894,-0.119999960064888,-0.008914018049836159,0.119999960064888,-0.12375068664550781,-0.119999960064888,-0.12370636314153671,-0.119999960064888
