index,label,action_LL,action_Lcrank,action_RL,action_Rcrank,baseline_height,mean_height,height_delta,min_height,max_height,mean_roll,mean_pitch,max_abs_roll,max_abs_pitch,max_abs_dof_velocity,max_target_error,finite,done_seen,position_LL,target_LL,position_Lcrank,target_Lcrank,position_RL,target_RL,position_Rcrank,target_Rcrank
17,combo_a0p20_pnnn,0.2,-0.2,-0.2,-0.2,0.08464838564395905,0.08309873938560486,-0.001549646258354187,0.08308235555887222,0.08466329425573349,0.2721481919288635,0.005326590035110712,0.28011536598205566,0.00539662130177021,1.1571906805038452,0.08278319984674454,True,False,-0.022783217951655388,0.059999980032444,-0.023452796041965485,-0.059999980032444,-0.07149876654148102,-0.059999980032444,-0.07164636999368668,-0.059999980032444
18,combo_a0p20_pnnp,0.2,-0.2,-0.2,0.2,0.08441054821014404,0.08443035185337067,1.9803643226623535e-05,0.0844094529747963,0.08443476259708405,0.27923643589019775,-4.2855199922087195e-07,0.27925294637680054,1.0530930012464523e-06,0.34875911474227905,0.07993695139884949,True,False,-0.019936969503760338,0.059999980032444,-0.02062736451625824,-0.059999980032444,-0.018647754564881325,-0.059999980032444,-0.01799827814102173,0.059999980032444
19,combo_a0p20_pnpn,0.2,-0.2,0.2,-0.2,0.08449563384056091,0.08451137691736221,1.574307680130005e-05,0.08448614180088043,0.08452823013067245,0.2795417904853821,6.57063651487988e-07,0.2796047627925873,2.0400620996952057e-06,0.4377313256263733,0.07850119471549988,True,False,-0.01850121282041073,0.059999980032444,-0.01922486163675785,-0.059999980032444,-0.017969006672501564,0.059999980032444,-0.018711203709244728,-0.059999980032444
20,combo_a0p20_pnpp,0.2,-0.2,0.2,0.2,0.08464650809764862,0.08576569706201553,0.0011191889643669128,0.08462446182966232,0.08576980978250504,0.28239354491233826,-0.004762168973684311,0.2824169099330902,0.004793902393430471,0.6535678505897522,0.0744200274348259,True,False,-0.014420045539736748,0.059999980032444,-0.015160787850618362,-0.059999980032444,0.03716365620493889,0.059999980032444,0.037240177392959595,0.059999980032444
21,combo_a0p20_ppnn,0.2,0.2,-0.2,-0.2,0.08460451662540436,0.08420223742723465,-0.00040227919816970825,0.08419206738471985,0.08478353917598724,0.27407440543174744,0.01100879441946745,0.28020110726356506,0.01106314454227686,1.3533505201339722,0.023658722639083862,True,False,0.03634125739336014,0.059999980032444,0.03644788637757301,0.059999980032444,-0.07142693549394608,-0.059999980032444,-0.07157962769269943,-0.059999980032444
22,combo_a0p20_ppnp,0.2,0.2,-0.2,0.2,0.08464200794696808,0.08563736826181412,0.0009953603148460388,0.08462187647819519,0.08563962578773499,0.282040536403656,0.004429568536579609,0.2820497751235962,0.004447354935109615,0.5808647274971008,0.07143888622522354,True,False,0.035522811114788055,0.059999980032444,0.03562527522444725,0.059999980032444,-0.012059050612151623,-0.059999980032444,-0.011438908986747265,0.059999980032444
23,combo_a0p20_pppn,0.2,0.2,0.2,-0.2,0.08459225296974182,0.08571188896894455,0.0011196359992027283,0.08458106219768524,0.08571883291006088,0.282400906085968,0.004227267578244209,0.28242459893226624,0.00426592119038105,0.6108776330947876,0.07195616513490677,True,False,0.036295659840106964,0.059999980032444,0.03639139235019684,0.059999980032444,-0.011956182308495045,0.059999980032444,-0.012723742052912712,-0.059999980032444
24,combo_a0p20_pppp,0.2,0.2,0.2,0.2,0.08443039655685425,0.08696004748344421,0.002529650926589966,0.08441939949989319,0.086967334151268,0.28876572847366333,5.539157541534223e-07,0.2887926399707794,2.128537744283676e-06,0.7448954582214355,0.018018238246440887,True,False,0.042246993631124496,0.059999980032444,0.042298827320337296,0.059999980032444,0.04198174178600311,0.059999980032444,0.04202684015035629,0.059999980032444
25,combo_a0p40_nnnn,-0.4,-0.4,-0.4,-0.4,0.084396593272686,0.0785064622759819,-0.0058901309967041016,0.0784938856959343,0.084396593272686,0.25702735781669617,2.0409159162682045e-07,0.2791088819503784,0.00013637682422995567,0.4260772466659546,0.017731785774230957,True,False,-0.13700705766677856,-0.119999960064888,-0.13722273707389832,-0.119999960064888,-0.1375391185283661,-0.119999960064888,-0.13773174583911896,-0.119999960064888
26,combo_a0p40_nnnp,-0.4,-0.4,-0.4,0.4,0.08442367613315582,0.08152218908071518,-0.0029014870524406433,0.08150972425937653,0.08442367613315582,0.2629963457584381,-0.013655154965817928,0.2792093753814697,0.013732058927416801,1.286228895187378,0.1407427340745926,True,False,-0.13577283918857574,-0.119999960064888,-0.1359923928976059,-0.119999960064888,-0.022127585485577583,-0.119999960064888,-0.02074277587234974,0.119999960064888
